id,title,vote_average,vote_count,status,release_date,revenue,runtime,adult,backdrop_path,budget,homepage,imdb_id,original_language,original_title,overview,popularity,poster_path,tagline,genres,production_companies,production_countries,spoken_languages,keywords
541487,Maharshi,7.0,26,Released,2019-05-09,34000000,176,False,/oFtr7SHlirL1jcs7sQYsU246KBV.jpg,12000000,,tt8333978,te,మహర్షి,"Rishi Kumar is a billionaire and the CEO of Origins, someone who has always strived for the success he now owns. His friend Ravi needs help, how will he come through?",8.557,/pV6xLQh54ga8oaQqJtUqLp12LwQ.jpg,Join the journey of Rishi,"Drama, Action","Vyjayanthi Movies, Sri Venkateswara Creations, PVP Cinema",India,Telugu,"businessman, millionaire, telugu, downtrodden farmers"
774548,Decibel,6.827,26,Released,2022-11-16,6843970,110,False,/vW016VDPIzzEgDzrC19xJ7pAoqg.jpg,8500000,,tt17494686,ko,Desibel,A former Naval officer with a dark past must face off against an insurgent with a sound sensitive bomb.,14.012,/pnqJLYhdZ6NHPe4I3EwicS52GG0.jpg,It will explode if it exceeds 100db.,"Action, Drama, Thriller","East Dream Synopex, Mindmark",South Korea,Korean,"terrorism, korean navy"
428658,The Great Father,6.2,26,Released,2017-03-30,9600000,147,False,/zlTSoOzokhqgWpaM7IE6ZIAnxbX.jpg,9400000,http://www.augustcinemaindia.in/project_details.php?project=Great%20Father&path=uploadimage/g1.jpg&domain=august-cinema&movie_detail=success,tt5996836,ml,ദി ഗ്രേറ്റ്‌ ഫാദര്‍,A businessman who is trying hard to be a good father to his daughter has a run-in with malevolent policeman.,2.364,/l9UroYNeIfNFdW1apIwOw4jYEUX.jpg,,"Action, Crime, Mystery",August Cinema,India,Malayalam,"police, parent child relationship, gun, investigation, victim, serial killer, serial rapist, stylish"
458252,Tall Tales from the Magical Garden of Antoon Krings,6.0,26,Released,2017-12-13,14394690,87,False,/7Q1RYwIdDGr3yOHXg8mHJGW4zjw.jpg,0,,tt6314766,fr,Drôles de petites bêtes,"When Apollo, a kind-hearted travelling performer, lands in the village of the Funny Little Bugs, it’s not too long before he upsets the life of the kingdom. As Apollo falls into a trap set by Wendy, the jealous and treacherous cousin of the queen, he is framed for kidnapping Queen Marguerite, causing panic in the hive! In reality, Marguerite is held by the Vermin, Wendy’s accomplices, while she takes over the throne. With the help of his new friends, Apollo embarks on a perilous rescue mission. To free the Queen and save the hive, the Little Bugs will bravely face many dangers and be more imaginative than ever!",4.599,/laSXfFwQ5Ce5eSCIEBOl3RaohqN.jpg,,"Animation, Comedy","Bidibul Productions, France 3 Cinéma","France, Luxembourg",French,
516516,Without Me,6.84,25,Released,2018-10-18,1671700,97,False,/gfYvRhUIw1W4foQzKJLLUr6PoEZ.jpg,1504710,,tt7520532,ru,Без меня,"Two girls, who used to be in love with the same man, are starting to get texts and other mysterious messages after his death, and the only person, who could’ve possibly sent them, is him. The messages from the gone man send two rivals to the south of the country, when they have two unravel the mystery of their mutual loved one, understand themselves and deal with their own past.",3.107,/gfCq45v1aTHGrYPkA38d6EcgD8h.jpg,"They have nothing in common, except him.","Thriller, Drama, Romance","Cinetrain, Mars Media Entertainment, Cinema Fund",Russia,Russian,love
425722,Behind the Blue Door,5.6,25,Released,2016-11-03,322593,90,False,/hfKSBb3JEd9uDAQDRzD8qIW95FD.jpg,0,,tt6233882,pl,Za niebieskimi drzwiami,"After a serious car accident, Lukasz discovers that the blue door in his new room lead to alternate reality.",2.737,/ajRjheOkbVebqtIzFqnV1cmVjY0.jpg,,"Family, Fantasy",Splendid Film,Poland,"German, Polish",
377878,Quackerz,4.88,25,Released,2016-02-14,4828042,81,False,/jfJm7JrRW3eSv68MXR11Bd3W1Xt.jpg,0,http://www.quackerzmovie.com/,tt3723780,en,Quackerz,"Many years ago, on a faraway island, there lived a Sun Duck who protected his flock from evil powers. The Sun Duck had his loyal guardians who made sure the Sun evenly spread its energy on their flourishing land. The bliss continued until an Evil Witch learned of the Sun Duck's superpowers. She seized the guardians and stole the Sun Duck away for the only sake every living woman would understand: eternal youth and mesmerizing beauty.  Today, nobody believes in old legends. Mandarin ducks peacefully reside on their island and abide by the law that prescribes ""no flying on the island"" and ""never leave the island"". The Emperor is the only one who knows that the legend is true and that the next generation Sun Duck has been born. He keeps it in strict secrecy, but the Witch also knows that the legend is true and she is coming back for her next victim.",5.745,/oP6cy63jH555O35Uqyy9qHpuSXh.jpg,They'll quack you up,Animation,"Animation Studio RIM, Asymmetric VFX, Fun High Productions, Syon Media","Canada, China, Russia","English, Portuguese","witch, island, legend, duck, anthropomorphism, personification, secrecy, birds, ducks"
634571,Spirits in the Forest,7.1,25,Released,2019-11-21,2480326,83,False,/3imrWA0rQYlHU34V241wnGyGVx.jpg,0,,tt11023922,en,Spirits in the Forest,"A look at Depeche Mode's final moments of their 2017 Global Spirit Tour, featuring intimate stories from select fans.",3.956,/idexLoYTFrxL4Kdpmj3aFIujA7q.jpg,A Depeche Mode film,"Documentary, Music","Whitelist, BBH entertainment, Columbia Records, Sony Music Entertainment, Trafalgar Releasing",United States of America,"German, Spanish, English","concert, music video, music film"
602463,Hostage: Missing Celebrity,7.02,25,Released,2021-08-18,13000000,94,False,/v4KKJ57xOIUJBA3a8ZN7Eeo2HrG.jpg,6144000,,tt14941222,ko,인질,A box office star has to prove his action credentials in the real world when he's kidnapped and held for ransom.,5.715,/friTd4TghctdY7raG8PjnoODAFo.jpg,There was no CCTV or witnesses of the kidnapping of Hwang Jung-min.,"Action, Thriller","Filmmaker R&K, Next Entertainment World, The Sam Company",South Korea,"English, Korean","kidnapping, hostage, celebrity, remake, movie star"
520358,Champion,6.52,25,Released,2018-05-01,8974547,108,False,/zZD3xGjeaa7oIcrJMFicIeot4Ur.jpg,0,,tt8367080,ko,챔피언,"A former arm-wrestling champion raised in the U.S. returns to South Korea for a tournament that could return him to glory, but he finds his life complicated by the appearance of the biological family he never knew.",3.557,/wzblS6RZaFhyTBNQRBr9Q6iYIV9.jpg,There's nothing he can't knock down.,Drama,Warner Bros. Korea,South Korea,"Korean, English","friendship, competition, bromance, family, family reunion, arm wrestling, strongman, heartwarming"
